,1,2,4,8,16,32,64,128,256,Iter.
Poke,40.5,45.2,53.7,57.6,59.2,60.3,60.6,60.7,60.7,64.8
Peek,17.7,18.9,19.8,20.1,20.3,20.4,20.4,20.4,20.3,20.5
Copy,13.8,14.6,15.1,15.3,15.3,15.4,15.4,15.4,15.4,15.5
