,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Iter.,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.1
256,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1
128,n/a,n/a,n/a,n/a,n/a,n/a,14.1,14.1,14.1,14.1,14.2,14.1,14.1,13.9,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1
64,n/a,n/a,n/a,n/a,n/a,14.1,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.1,14.1
32,n/a,n/a,n/a,n/a,14.2,14.2,14.2,14.1,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.2
16,n/a,n/a,n/a,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.2
8,n/a,n/a,14.2,14.1,14.1,14.1,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.1,14.1
4,n/a,14.2,14,14,14.1,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.1,14.1,14.2,14.1,14.1,14.1,14.1
2,14.1,13.9,13.9,14.1,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.2,14.2
1,13.2,13.6,13.9,14,14.1,14.1,14.1,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.1,14.1
